Region Particle X Y Z Heat Error
304 neutron 80.5 6.25 -47.5 0.09034700000000001 0.11052400000000001
304 neutron 80.5 6.25 -42.5 0.0918483 0.10123800000000001
304 neutron 80.5 6.25 -37.5 0.08959099999999999 0.107178
304 neutron 80.5 6.25 -32.5 0.0850881 0.109926
304 neutron 80.5 6.25 -27.5 0.10913900000000001 0.111544
304 neutron 80.5 6.25 -22.5 0.10686400000000001 0.100687
304 neutron 80.5 6.25 -17.5 0.102051 0.10006500000000002
304 neutron 80.5 6.25 -12.5 0.14114400000000002 0.109523
304 neutron 80.5 6.25 -7.5 0.148362 0.0999878
304 neutron 80.5 6.25 -2.5 0.137073 0.0971705
304 neutron 80.5 6.25 2.5 0.132601 0.095496
304 neutron 80.5 6.25 7.5 0.120061 0.0970296
304 neutron 80.5 6.25 12.5 0.128995 0.102327
304 neutron 80.5 6.25 17.5 0.108229 0.115208
304 neutron 80.5 6.25 22.5 0.10571600000000002 0.105301
304 neutron 80.5 6.25 27.5 0.10331600000000002 0.09952180000000001
304 neutron 80.5 6.25 32.5 0.10472 0.108341
304 neutron 80.5 6.25 37.5 0.11909700000000001 0.10123500000000002
304 neutron 80.5 6.25 42.5 0.108463 0.101333
304 neutron 80.5 6.25 47.5 0.0948061 0.101552
314 neutron 233.89256278625513 6.25 53.10770115714826 1.23343 0.027104
314 neutron 233.03614069464624 6.25 59.26381739464466 1.10265 0.0275038
314 neutron 231.33963460294015 6.25 65.24320641103812 0.943419 0.028511
314 neutron 228.83540900996047 6.25 70.93179851348563 0.37294700000000003 0.0340887
314 neutron 225.57123739948923 6.25 76.22107158508592 0.0497678 0.0580909
314 neutron 221.6093908584171 6.25 81.01012137743068 0.0707328 0.0506366
314 neutron 217.02545012196506 6.25 85.20758647594647 0.160421 0.0361389
314 neutron 211.9068637087667 6.25 88.73339121517746 0.2069 0.0339872
314 neutron 206.35127965248284 6.25 91.52027329415517 0.8092710000000001 0.028418899999999997
314 neutron 200.4646826557522 6.25 93.51506694930958 0.836506 0.0311576
314 neutron 194.07853731930666 6.25 94.71250897340038 0.744812 0.032557800000000005
314 neutron 187.86914570504982 6.25 94.98578851774849 0.6759430000000001 0.0335322
314 neutron 181.68132756623024 6.25 94.40086748935406 0.588917 0.0360912
314 neutron 175.63312882903344 6.25 92.96890451359894 0.538526 0.0379991
314 neutron 169.83993187957174 6.25 90.71721736097088 0.472727 0.0389354
314 neutron 164.4122543969579 6.25 87.68876180189638 0.468218 0.0400092
314 neutron 159.45364099111697 6.25 83.94131213312468 0.442003 0.040577699999999994
314 neutron 155.05868786687532 6.25 79.54635900888303 0.42035600000000006 0.0406799
314 neutron 151.31123819810364 6.25 74.58774560304212 0.41072800000000004 0.0406848
314 neutron 148.28278263902914 6.25 69.16006812042828 0.38842200000000005 0.0397684
314 neutron 180.5678408436424 6.25 5.79707371720901 0.802183 0.007426650000000001
314 neutron 297.2409569401929 6.25 57.493012790013026 0.08702370000000001 0.0794953
314 neutron 295.17602811931374 6.25 72.33609305153212 0.0943067 0.0775681
314 neutron 291.08556343153344 6.25 86.75306434661411 0.0820006 0.0848493
314 neutron 285.0475972795714 6.25 100.46889197140422 0.0721087 0.08316549999999999
314 neutron 277.17731684099067 6.25 113.22191704404051 0.06349400000000001 0.08238540000000001
314 neutron 267.62486462529455 6.25 124.76884821002731 0.06010100000000001 0.0916366
314 neutron 256.5724741829602 6.25 134.8894029475598 0.0662722 0.08446630000000001
314 neutron 244.23099360891527 6.25 143.39050992992787 0.08853989999999999 0.08452019999999999
314 neutron 230.83586316209752 6.25 150.10999227590747 0.0897871 0.08594810000000001
314 neutron 216.64262373664695 6.25 154.91966142222418 0.0691267 0.0929999
314 neutron 201.24491775877274 6.25 157.8068271914209 0.055973499999999995 0.0943201
314 neutron 186.27338464439788 6.25 158.46573453723806 0.061129100000000006 0.0953352
314 neutron 171.35386757635513 6.25 157.05542494655367 0.0552303 0.10002899999999999
314 neutron 156.77098839889175 6.25 153.60280310501076 0.0485204 0.10036099999999999
314 neutron 142.8029468651896 6.25 148.17373519256313 0.0652413 0.10215300000000001
314 neutron 129.7162133793318 6.25 140.87179234457238 0.0627022 0.101522
314 neutron 117.76044550080424 6.25 131.8362748098673 0.0534186 0.10295300000000002
314 neutron 107.16372519013272 6.25 121.23955449919578 0.056572500000000005 0.107439
314 neutron 98.12820765542763 6.25 109.28378662066821 0.0545932 0.11196900000000001
314 neutron 90.8262648074369 6.25 96.1970531348104 0.0564082 0.10468900000000002
314 neutron 168.66912736744888 6.25 -56.578166704062724 0.692952 0.00819482
324 neutron 184.8813423561322 6.25 37.95654504719127 0.5995739999999999 0.030002300000000003
324 neutron 186.11278545147223 6.25 41.41653924391589 0.6487280000000001 0.0292161
324 neutron 187.20906807422622 6.25 44.8176782721107 0.653501 0.0294273
324 neutron 188.1686323467999 6.25 48.1551289271103 0.616247 0.0300101
324 neutron 188.99011467585575 6.25 51.42414850891256 0.6288290000000001 0.0305905
324 neutron 189.56835588221008 6.25 54.09270321439907 0.644272 0.030870700000000004
324 neutron 190.1337987765956 6.25 57.22427527238453 0.6914150000000001 0.0292047
324 neutron 190.55836711843497 6.25 60.27452850396302 0.6708910000000001 0.029599600000000004
324 neutron 190.84145757288252 6.25 63.23912833238621 0.7128840000000001 0.0292218
324 neutron 190.98266785291207 6.25 66.1138618990785 0.704817 0.0295569
324 neutron 190.98179729098894 6.25 68.89464405033961 0.6686610000000001 0.030388099999999998
324 neutron 190.83884712422912 6.25 71.57752314257144 0.6966370000000001 0.0293206
